1-fw	0.49597	0.19674	0.32104	0.01385	0.01850	
1-bw	0.94993	0.40474	0.00510	0.00329	0.99346	

2-fw	0.92361	0.81689	0.00328	0.00835	0.00980	
2-bw	0.97611	0.87296	0.00388	0.00562	0.00000	

3-fw	0.89571	0.73958	0.00048	0.00334	0.01288	
3-bw	0.98225	0.88914	0.00047	0.00622	0.00000	

4-fw	0.91335	0.62991	0.00086	0.00339	0.00664	
4-bw	0.97423	0.90659	0.00042	0.00650	0.00000	

5-fw	0.90042	0.83447	0.00020	0.00327	0.00654	
5-bw	0.99339	0.90646	0.00000	0.00654	0.00000	

6-fw	0.90356	0.84367	0.00039	0.00327	0.00654	
6-bw	0.98404	0.92679	0.00007	0.00650	0.00000	

7-fw	0.91019	0.83844	0.00151	0.00151	0.00641	
7-bw	0.93052	0.87536	0.00340	0.00653	0.00000	

8-fw	0.89309	0.75343	0.00002	0.00001	0.00654	
8-bw	0.94412	0.90039	0.00001	0.00654	0.00000	

9-fw	nan	nan	nan	nan	nan	
9-bw	nan	nan	nan	nan	nan	

10-fw	nan	nan	nan	nan	nan	
10-bw	nan	nan	nan	nan	nan	

