1-fw	0.60456	0.04076	0.00528	0.00027	0.00671	
1-bw	0.99228	0.99855	0.00000	0.00653	0.00000	

2-fw	0.92997	0.51815	0.00340	0.00034	0.00000	
2-bw	0.99563	0.06306	0.00000	0.00654	0.00000	

3-fw	0.91117	0.58189	0.00329	0.00316	0.00000	
3-bw	0.99254	0.99486	0.00000	0.00653	0.00000	

4-fw	0.96148	0.75143	0.00356	0.00324	0.00000	
4-bw	0.98555	0.95982	0.00000	0.00654	0.00000	

5-fw	0.92541	0.51855	0.00344	0.00307	0.00000	
5-bw	0.98670	0.66652	0.00000	0.00653	0.00000	

6-fw	0.95426	0.61435	0.00374	0.00321	0.00000	
6-bw	0.98122	0.75377	0.01857	0.00654	0.00000	

