1-fw	1.00000	0.98071	0.95530	0.88407	0.83936	
1-bw	1.00000	0.95458	0.84717	0.69108	0.68732	

2-fw	1.00000	1.00000	1.00000	1.00000	1.00000	
2-bw	1.00000	1.00000	1.00000	1.00000	1.00000	

3-fw	1.00000	1.00000	1.00000	1.00000	1.00000	
3-bw	1.00000	1.00000	1.00000	1.00000	1.00000	

4-fw	1.00000	1.00000	1.00000	1.00000	1.00000	
4-bw	1.00000	1.00000	1.00000	1.00000	1.00000	

5-fw	1.00000	1.00000	1.00000	1.00000	1.00000	
5-bw	1.00000	1.00000	1.00000	1.00000	1.00000	

6-fw	1.00000	1.00000	1.00000	1.00000	1.00000	
6-bw	1.00000	1.00000	1.00000	1.00000	1.00000	

