1-fw	0.83180	0.76762	0.64236	0.52553	0.41942	
1-bw	0.69360	0.35291	0.12311	0.00000	0.00000	

2-fw	0.89116	0.81851	0.62471	0.47685	0.35697	
2-bw	0.75388	0.27499	0.15852	0.15273	0.15175	

3-fw	0.83023	0.75212	0.60088	0.45475	0.35702	
3-bw	0.61495	0.24086	0.12322	0.11350	0.11111	

4-fw	0.86567	0.74326	0.58198	0.43594	0.30513	
4-bw	0.59796	0.23925	0.11828	0.08410	0.08363	

5-fw	0.82865	0.73673	0.57848	0.43736	0.31191	
5-bw	0.55208	0.19779	0.09973	0.09056	0.09056	

6-fw	0.84599	0.74442	0.59904	0.42932	0.30437	
6-bw	0.44648	0.21885	0.18307	0.18231	0.18220	

7-fw	0.91724	0.78645	0.55621	0.39608	0.27886	
7-bw	0.50041	0.04888	0.04116	0.00963	0.00960	

8-fw	0.89339	0.77176	0.58898	0.40233	0.28360	
8-bw	0.46583	0.19721	0.18201	0.00646	0.00646	

9-fw	0.94975	0.80412	0.58392	0.37299	0.24374	
9-bw	0.48066	0.22086	0.18065	0.18065	0.18065	

10-fw	0.83879	0.70559	0.51056	0.34978	0.23364	
10-bw	0.40620	0.12923	0.06106	0.06086	0.06086	

11-fw	0.94478	0.78459	0.53276	0.34332	0.21527	
11-bw	0.12778	0.10918	0.06604	0.06604	0.06604	

12-fw	0.94440	0.77467	0.53984	0.34384	0.22038	
12-bw	0.27983	0.21802	0.13134	0.13134	0.13134	

13-fw	nan	nan	nan	nan	nan	
13-bw	nan	nan	nan	nan	nan	

14-fw	nan	nan	nan	nan	nan	
14-bw	nan	nan	nan	nan	nan	

15-fw	nan	nan	nan	nan	nan	
15-bw	nan	nan	nan	nan	nan	

16-fw	nan	nan	nan	nan	nan	
16-bw	nan	nan	nan	nan	nan	

17-fw	nan	nan	nan	nan	nan	
17-bw	nan	nan	nan	nan	nan	

18-fw	nan	nan	nan	nan	nan	
18-bw	nan	nan	nan	nan	nan	

