1-fw	0.67743	0.51549	0.39951	0.37794	0.37788	
1-bw	0.84200	0.75449	0.69778	0.60345	0.47760	

2-fw	0.74514	0.54408	0.41377	0.37834	0.37829	
2-bw	0.79480	0.67057	0.59640	0.44872	0.27863	

3-fw	0.76141	0.57287	0.43038	0.33184	0.33183	
3-bw	0.84258	0.71244	0.61036	0.45597	0.30501	

4-fw	0.81062	0.57060	0.39926	0.34871	0.34794	
4-bw	0.81467	0.68386	0.58600	0.40370	0.22818	

5-fw	0.73720	0.53793	0.37139	0.29847	0.28898	
5-bw	0.81202	0.65301	0.53089	0.40236	0.22465	

6-fw	0.73199	0.51498	0.33644	0.27959	0.27272	
6-bw	0.82878	0.69002	0.52587	0.37220	0.18716	

7-fw	0.79527	0.56401	0.37892	0.31828	0.30933	
7-bw	0.79218	0.65941	0.51455	0.37745	0.23015	

8-fw	0.76859	0.56230	0.40155	0.30056	0.28085	
8-bw	0.84942	0.65822	0.46327	0.35070	0.16118	

9-fw	0.73903	0.51089	0.37996	0.29060	0.27201	
9-bw	0.80009	0.64613	0.48352	0.30974	0.15872	

10-fw	0.76126	0.52936	0.35742	0.28980	0.26097	
10-bw	0.83872	0.65563	0.46310	0.30572	0.13484	

11-fw	0.70555	0.45413	0.33381	0.27823	0.24459	
11-bw	0.82034	0.64012	0.47000	0.34033	0.16511	

12-fw	0.76056	0.50992	0.33899	0.29322	0.27748	
12-bw	0.81537	0.65335	0.47006	0.34563	0.18205	

13-fw	0.73581	0.48161	0.30407	0.23503	0.20150	
13-bw	0.88486	0.66138	0.41252	0.28838	0.14206	

14-fw	0.69953	0.43385	0.31789	0.24545	0.21560	
14-bw	0.81586	0.62047	0.38173	0.24559	0.12483	

15-fw	0.77478	0.47905	0.32903	0.27336	0.24578	
15-bw	0.77740	0.60568	0.38337	0.24921	0.13238	

16-fw	0.69253	0.42342	0.28980	0.21470	0.19555	
16-bw	0.80346	0.59685	0.40314	0.24379	0.09562	

17-fw	0.64842	0.42147	0.30297	0.24508	0.17637	
17-bw	0.84401	0.63761	0.40032	0.25929	0.12417	

18-fw	0.64738	0.37740	0.26555	0.22147	0.19411	
18-bw	0.79263	0.62232	0.44800	0.29729	0.12247	

19-fw	0.68734	0.39809	0.26238	0.19389	0.16860	
19-bw	0.79703	0.63624	0.44402	0.31177	0.15648	

20-fw	0.64973	0.39310	0.26743	0.22233	0.19381	
20-bw	0.82302	0.66436	0.46496	0.31789	0.15830	

21-fw	0.70784	0.38205	0.23980	0.18826	0.14688	
21-bw	0.81512	0.63449	0.41270	0.27011	0.14467	

22-fw	0.72785	0.44087	0.27272	0.22029	0.18914	
22-bw	0.76324	0.56137	0.39093	0.22774	0.09154	

23-fw	0.67043	0.39279	0.25124	0.20255	0.17842	
23-bw	0.78465	0.61547	0.37953	0.23669	0.11455	

24-fw	0.67170	0.45064	0.26907	0.24582	0.21242	
24-bw	0.77094	0.59834	0.39773	0.24340	0.11354	

25-fw	0.62936	0.33285	0.24066	0.16363	0.14212	
25-bw	0.79748	0.59526	0.35897	0.27172	0.08928	

26-fw	0.50473	0.27857	0.15760	0.13046	0.12336	
26-bw	0.78862	0.59955	0.40709	0.29251	0.13608	

27-fw	0.65448	0.33719	0.21062	0.15314	0.14165	
27-bw	0.79442	0.63684	0.37862	0.25137	0.12335	

28-fw	0.72061	0.45374	0.27419	0.22029	0.21863	
28-bw	0.73486	0.57458	0.33072	0.22956	0.10727	

29-fw	0.67286	0.38416	0.28956	0.25581	0.22817	
29-bw	0.76621	0.60850	0.36609	0.26509	0.12678	

30-fw	0.78936	0.51123	0.27795	0.20331	0.19407	
30-bw	0.72166	0.56728	0.37029	0.22522	0.10057	

31-fw	0.84664	0.70162	0.69314	0.66693	0.03262	
31-bw	0.85225	0.62483	0.38557	0.25530	0.11814	

32-fw	0.99933	0.34642	0.34527	0.34335	0.00248	
32-bw	0.77362	0.60669	0.36737	0.23656	0.11747	

33-fw	0.99514	0.13454	0.13448	0.13433	0.00363	
33-bw	0.83151	0.60058	0.38737	0.22779	0.10185	

34-fw	0.31799	0.02048	0.01424	0.00891	0.00717	
34-bw	0.84512	0.61537	0.40358	0.27458	0.12343	

35-fw	0.20715	0.10246	0.05489	0.05200	0.02437	
35-bw	0.77055	0.58057	0.35542	0.23004	0.10060	

36-fw	0.50959	0.27880	0.16916	0.14139	0.14135	
36-bw	0.72767	0.57811	0.39675	0.25607	0.10474	

